Title;URL;Engine;Info;Dimensions;Year Built;Location;Price;Model;Length;Beam;Age
More 40;https://www.yachtall.com/en/boat/more-40-s188414; Yanmar 3JH5, 40 hp (29 kW), diesel; More Boats, demonstration model, GRP/polyester; 12.50 m x 4 m;2021;Germany, Neustadt I. Holstein;343000;More Boats;12.5;4;2
Jeanneau 53;https://www.boat24.com/en/sailingboats/jeanneau/jeanneau-53/detail/548121/;1 x 110 HP / 81 kW;;15.73 x 4.77 m;2014;Italy » Italien Nähe Sardinien;340000;Jeanneau;15.73;4.77;9
Saare Paat Saare 41ac;https://www.boat24.com/en/sailingboats/saare-paat/saare-paat-saare-41ac/detail/545816/;1 x 75 HP / 55 kW;;12.50 x 3.92 m;2013;Finland » Åland » Mariehamn;340000;Saare;12.5;3.92;10
Bénéteau Oceanis 54;https://www.boat24.com/en/sailingboats/beneteau/beneteau-oceanis-54/detail/514689/;1 x 110 HP / 81 kW;;16.70 x 4.90 m;2010;Greece » Contact De Valk Corfu;340000;Bénéteau;16.7;4.9;13
Bénéteau Océanis 55;https://www.yachtall.com/en/boat/beneteau-oceanis-55-s181779; Yanmar 4JH4TE, 75 hp (55 kW), diesel; Bénéteau, used boat; 16.79 m x 4.95 m;2016;Great Britain, Ardrossan;340000;Bénéteau;16.79;4.95;7
Océanis 46.1;https://www.yachtall.com/en/boat/oceanis-46.1-s197653; Yanmar 4J80CR SD, 80 hp (59 kW), diesel; Bénéteau, used boat, GRP/polyester; 13.65 m x 4.50 m;2022;Greece, Corfu, Gouvia Marina;340000;Bénéteau;13.65;4.5;1
Cantiere del Pardo Grand Soleil 50;https://www.yachtall.com/en/boat/cantiere-del-pardo-grand-soleil-50-s216110; Yanmar, 75 hp (55 kW), diesel; Cantiere del Pardo, used boat, GRP/polyester; 15.15 m x 4.58 m;2014;Italy, Mar Tirreno;340000;Cantiere del Pardo;15.15;4.58;9
Bénéteau Océanis 54;https://www.yachtall.com/en/boat/beneteau-oceanis-54-s188524; 110 hp (81 kW), diesel; Bénéteau, used boat, GRP/polyester; 16.70 m x 4.90 m;2010;Greece, Contact De Valk Corfu;340000;Bénéteau;16.7;4.9;13
Nautor's Swan 45;https://www.yachtall.com/en/boat/nautors-swan-45-s158069; Volvo Penta D2-75, 55 hp (40 kW); Breewijdt, used boat, steel boat; 14 m x 3.91 m;2002;Spain, Valencia;340000;Breewijdt;14;3.91;21
Jeanneau Yachts 53;https://www.yachtall.com/en/boat/jeanneau-yachts-53-s215903; Yanmar, 110 hp (81 kW), diesel; Tirion, used boat; 15.73 m x 4.77 m;2011;France, La Grande-Motte;340000;Tirion;15.73;4.77;12
